_time;vcc;vpanel;tmp;hum;s0;s1;s2;s3;s4;s5;s6;s7;s8;s9;value;sensor_name
2024-06-03 16:59:00+00:00;3,498;2,658;26,01;54,678;461700;61914000;59713800;58829400;4576500;4568800;4527200;476900;511600;537800;air;Tree31
2024-06-03 17:20:00+00:00;3,5;2,665;31;42,78;210700;19817300;18762000;18321400;1643600;1605000;1591900;220700;248100;273800;fire;Tree31
2024-06-03 17:21:00+00:00;3,502;2,667;31,47;42,346;222300;21707800;20072200;19464200;1745500;1718100;1694600;233200;257900;280800;fire;Tree31
2024-06-03 17:22:00+00:00;3,499;2,666;31,67;41,405;197800;18169100;16545300;13557300;1053200;929200;870000;129100;109100;96800;fire;Tree31
2024-06-03 17:25:00+00:00;3,499;2,668;33,56;39,491;37200;1370300;1260300;1129900;145800;135800;127700;40100;49700;59500;fire;Tree31
2024-06-03 17:26:00+00:00;3,5;2,674;34,8;38,068;45600;1884000;1696700;1356700;158100;137500;126600;36100;34300;33000;fire;Tree31
2024-06-03 17:27:00+00:00;3,499;2,673;36,07;36,545;16600;340800;266100;196200;38200;35200;33900;18600;21800;22600;fire;Tree31
2024-06-03 17:28:00+00:00;3,5;2,674;36,9;34,571;16600;345700;277800;195400;33900;29900;26900;14800;15200;15600;fire;Tree31
2024-06-03 17:30:00+00:00;3,497;2,674;36,91;33,472;21200;523300;458900;404500;68800;65900;63600;28200;38600;48800;fire;Tree31
2024-06-03 17:31:00+00:00;3,499;2,674;36,7;33,546;46600;1685200;1526000;1339400;186400;176700;170200;52700;66800;80400;fire;Tree31
2024-06-03 17:32:00+00:00;3,498;2,672;36,57;33,707;61500;2463700;2190900;1926600;253300;239800;231900;62000;72100;79400;fire;Tree31
2024-06-03 17:34:00+00:00;3,499;2,677;37,15;34,064;37000;1220800;1017800;798200;120700;113700;106300;38000;49500;62200;fire;Tree31
2024-06-03 17:35:00+00:00;3,497;2,677;38,51;32,605;26600;736900;603900;463000;69200;61700;57300;22600;18700;20500;fire;Tree31
2024-06-03 17:36:00+00:00;3,498;2,681;40;30,134;19200;463600;383800;337100;61900;61400;60200;28800;41000;52300;fire;Tree31
2024-06-03 17:37:00+00:00;3,496;2,681;42,02;27,535;44700;1690400;1417300;1256800;180100;175500;169200;52100;67800;82000;fire;Tree31
2024-06-03 17:39:00+00:00;3,495;2,677;42,39;27,173;62800;2671000;2284400;2035700;271900;259100;245500;64200;74500;84000;fire;Tree31
2024-06-03 17:40:00+00:00;3,495;2,663;41,55;27,797;68300;3041900;2585000;2371700;318900;305400;291400;71500;88000;104200;fire;Tree31
2024-06-03 17:41:00+00:00;3,495;2,679;40,03;29,38;78300;3674300;3225100;2919400;386200;364500;350300;84700;105900;124200;fire;Tree31
